Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C14, C17, C18, C21, C3, C4, C5, C6, C7, C8, C9",0603,14,0.1u,
"C11, C12, C15, C16, C19, C20",1206,6,0.1u,
C2,1206,1,10u,
D1,LED_D5.0mm,1,+3V3,
D2,LED_D5.0mm,1,WORKING,
D3,LED_D5.0mm,1,ERROR,
"H1, H2, H3, H4, H5",MountingHole_4_40,5,~,
J1,24797741,1,2479774-1,
J2,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"J4, J7",Pressure_Connector_1.1,2,~,
"J5, J6",PinSocket_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,LP_3V3_Jumper,
JP2,PinHeader_1x02_P2.54mm_Vertical,1,LP_5V_Jumper,
JP3,PinHeader_1x02_P2.54mm_Vertical,1,FT232_3V3_Jumper,
Q1,SOT-23,1,SQ2389CES-T1_GE3,
"R1, R2",0603,2,5k1,
"R10, R14",0603,2,100R,
"R11, R12",0603,2,0R,
"R13, R15, R17, R9",0603,4,100k,
R16,0603,1,8k2,
R18,0603,1,65k5,
"R19, R20",0603,2,160k,
"R21, R22, R23, R24, R28, R29, R30, R35, R36, R37, R4",0603,11,10k,
"R25, R32",0603,2,200R,
"R26, R27, R33, R34",0603,4,32k,
R3,0603,1,47k,
"R31, R38",0603,2,17k5,
R5,0603,1,1k,
"R6, R7, R8",0603,3,5k,
SW1,SW-T3-1A-A-A3-S1,1,Power_Switch,
SW2,SW_PUSH_6mm,1,MODE,
SW3,SW_PUSH_6mm,1,ENTER,
TP1,Testpoint_1x02_P2.54mm,1,+5V,
TP10,Testpoint_1x02_P2.54mm,1,P1_InstOut,
TP11,Testpoint_1x02_P2.54mm,1,P1_LG,
TP12,Testpoint_1x02_P2.54mm,1,P1_HG,
TP13,Testpoint_1x02_P2.54mm,1,P2_InstOut,
TP14,Testpoint_1x02_P2.54mm,1,P2_LG,
TP15,Testpoint_1x02_P2.54mm,1,P2_HG,
TP2,Testpoint_1x02_P2.54mm,1,+3V3,
TP3,Testpoint_1x02_P2.54mm,1,+VRef,
TP4,Testpoint_1x02_P2.54mm,1,+VBUS,
"TP5, TP6",Testpoint_1x02_P2.54mm,2,GND,
TP7,Testpoint_1x02_P2.54mm,1,T_InstOut,
TP8,Testpoint_1x02_P2.54mm,1,T_HG,
TP9,Testpoint_1x02_P2.54mm,1,T_LG,
U1,TO254P470X1028X1955-3P,1,LM2937ET-3.3_NOPB,
"U10, U12, U8",SOIC-8_5.3x5.3mm_P1.27mm,3,INA122D,
"U11, U13, U3, U9",DIP-8_W7.62mm,4,OPA2350,
U2,ti_LM4041CILPR,1,LM4041CILPR,
U4,ti_LP_MSPM0G3507,1,LP-MSPM0G3507,
U5,AdaFruit_1590,1,AdaFruit_1590,
U6,adafruit_st7735r,1,Adafruit ST7735R,
U7,FT232R-Breakout,1,FT232R,
