Designator,Mid X,Mid Y,Rotation,Layer
C1,45.466,-58.166,0.0,top
C10,159.575,-103.124,270.0,bottom
C11,156.781,-100.33,0.0,top
C12,146.875,-101.092,0.0,bottom
C13,144.081,-110.744,0.0,top
C14,136.081,-50.165,270.0,bottom
C15,133.287,-47.371,0.0,top
C16,123.381,-48.133,0.0,bottom
C17,120.066,-58.039,0.0,top
C18,136.004,-79.248,270.0,bottom
C19,133.21,-76.454,0.0,top
C2,35.56,-63.754,270.0,bottom
C20,123.304,-77.216,0.0,bottom
C21,120.002,-87.122,0.0,top
C3,147.574,-34.29,270.0,bottom
C4,69.342,-106.172,180.0,bottom
C5,61.976,-56.401,90.0,top
C6,72.657,-106.172,0.0,bottom
C7,61.976,-43.701,90.0,top
C8,101.092,-93.726,180.0,bottom
C9,78.74,-93.726,0.0,bottom
D1,37.587,-51.054,0.0,top
D2,37.582,-43.18,0.0,top
D3,37.582,-35.306,0.0,top
J1,30.5155,-83.566,270.0,top
J2,49.657,-77.47,0.0,top
J3,172.3644,-103.0224,180.0,top
J4,165.1,-49.53,270.0,top
J5,149.543,-50.927,0.0,top
J6,149.466,-80.01,0.0,top
J7,165.1,-78.74,270.0,top
JP1,73.8632,-32.2072,270.0,top
JP2,73.8682,-36.3728,270.0,top
JP3,60.198,-98.039,0.0,top
Q1,39.436,-65.024,90.0,bottom
R1,36.576,-82.296,0.0,top
R10,61.214,-58.928,0.0,top
R11,71.7296,-112.268,180.0,bottom
R12,76.2,-105.41,270.0,bottom
R13,60.452,-48.768,90.0,top
R14,61.214,-46.228,0.0,top
R15,165.163,-103.886,180.0,bottom
R16,165.163,-101.854,0.0,bottom
R17,176.3268,-102.1588,270.0,bottom
R18,165.163,-105.664,0.0,bottom
R19,158.305,-103.124,180.0,top
R2,36.576,-84.328,0.0,top
R20,154.495,-103.124,180.0,top
R21,153.479,-105.918,180.0,top
R22,148.653,-106.997,270.0,bottom
R23,140.271,-103.124,0.0,top
R24,145.605,-104.394,270.0,bottom
R25,141.478,-54.737,180.0,top
R26,134.811,-50.165,180.0,top
R27,131.001,-50.165,180.0,top
R28,129.985,-52.959,180.0,top
R29,125.159,-53.975,270.0,bottom
R3,137.668,-34.798,180.0,top
R30,116.777,-50.165,0.0,top
R31,122.111,-51.435,270.0,bottom
R32,141.478,-83.947,180.0,top
R33,134.734,-79.248,180.0,top
R34,130.924,-79.248,180.0,top
R35,129.908,-82.042,180.0,top
R36,125.082,-83.058,270.0,bottom
R37,116.7,-79.248,0.0,top
R38,122.034,-80.518,270.0,bottom
R4,136.906,-28.702,90.0,bottom
R5,139.446,-28.702,270.0,bottom
R6,42.418,-51.816,90.0,top
R7,42.418,-43.942,90.0,top
R8,42.418,-36.131,90.0,top
R9,60.452,-61.468,90.0,top
SW1,39.3575,-72.624,90.0,top
SW2,54.61,-56.642,0.0,top
SW3,54.61,-43.942,0.0,top
TP1,26.924,-63.241,0.0,top
TP10,140.584,-43.307,180.0,top
TP11,111.379,-47.625,90.0,top
TP12,111.379,-52.705,90.0,top
TP13,142.245,-73.914,270.0,top
TP14,112.4204,-75.443,180.0,top
TP15,112.3696,-83.1138,180.0,top
TP2,26.924,-55.875,0.0,top
TP3,137.16,-37.592,90.0,top
TP4,26.924,-72.893,0.0,top
TP5,53.34,-29.972,90.0,top
TP6,119.629,-112.522,90.0,top
TP7,157.856,-112.014,90.0,top
TP8,134.615,-105.664,90.0,top
TP9,144.3178,-96.4692,90.0,top
U1,38.3415,-58.166,180.0,top
U10,141.669,-50.673,90.0,top
U11,123.381,-51.435,180.0,top
U12,141.592,-79.756,90.0,top
U13,123.381,-80.518,180.0,top
U2,139.446,-31.75,0.0,top
U3,147.579,-34.036,0.0,top
U4,90.17,-55.88,270.0,bottom
U5,86.36,-90.90615,90.0,top
U6,88.9,-71.12,90.0,top
U7,42.672,-103.282,180.0,top
U8,165.163,-103.632,90.0,top
U9,146.87,-104.394,180.0,top
